iter	Passed	Remaining
0	148	148697
1	149	74592
2	150	49891
3	151	37828
4	153	30508
5	154	25610
6	155	22099
7	157	19484
8	158	17447
9	159	15773
10	159	14382
11	161	13297
12	162	12313
13	162	11466
14	163	10731
15	164	10118
16	165	9566
17	166	9071
18	167	8624
19	167	8222
20	168	7857
21	169	7526
22	170	7221
23	170	6940
24	171	6683
25	172	6449
26	173	6261
27	175	6075
28	175	5887
29	177	5738
30	178	5593
31	179	5435
32	180	5287
33	181	5150
34	182	5023
35	182	4897
36	183	4784
37	184	4681
38	186	4600
39	187	4501
40	188	4401
41	189	4322
42	190	4240
43	191	4157
44	191	4074
45	192	3997
46	193	3921
47	193	3847
48	194	3776
49	195	3708
50	195	3643
51	196	3580
52	197	3523
53	198	3486
54	200	3437
55	207	3502
56	208	3457
57	210	3419
58	212	3382
59	212	3336
60	213	3289
61	214	3249
62	218	3244
63	219	3205
64	220	3164
65	220	3123
66	221	3083
67	222	3043
68	222	3004
69	223	2968
70	224	2937
71	225	2902
72	225	2867
73	233	2917
74	233	2884
75	234	2853
76	235	2820
77	235	2788
78	236	2757
79	237	2727
80	237	2699
81	239	2677
82	239	2649
83	241	2633
84	242	2609
85	243	2583
86	243	2557
87	244	2531
88	244	2506
89	245	2482
90	246	2459
91	247	2443
92	248	2421
93	248	2398
94	255	2434
95	256	2413
96	257	2392
97	257	2371
98	258	2350
99	258	2329
100	259	2309
101	260	2289
102	260	2270
103	262	2258
104	264	2252
105	268	2263
106	269	2252
107	270	2236
108	271	2219
109	272	2202
110	272	2184
111	273	2167
112	273	2150
113	274	2133
114	275	2122
115	282	2149
116	283	2137
117	284	2124
118	284	2109
119	285	2094
120	286	2078
121	286	2063
122	287	2048
123	287	2033
124	288	2019
125	289	2005
126	290	1995
127	295	2013
128	296	2001
129	298	1997
130	299	1983
131	299	1971
132	300	1957
133	300	1945
134	301	1932
135	302	1919
136	302	1907
137	303	1894
138	304	1885
139	314	1930
140	315	1921
141	315	1908
142	316	1896
143	317	1885
144	317	1874
145	324	1897
146	325	1890
147	328	1890
148	329	1879
149	329	1869
150	330	1858
151	332	1856
152	333	1847
153	336	1850
154	338	1844
155	339	1835
156	339	1825
157	340	1816
158	341	1808
159	342	1798
160	343	1787
161	343	1778
162	344	1768
163	345	1759
164	345	1750
165	346	1741
166	347	1732
167	357	1770
168	358	1761
169	359	1753
170	359	1745
171	360	1736
172	361	1727
173	362	1719
174	366	1729
175	367	1721
176	368	1713
177	369	1705
